,rank,name,opus,versions,duration,composer_name,composer_life
165,1,Winterreise,911,9,85m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
166,2,Ave Maria (Ellens Gesang III),839,4,6m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
167,3,"Symphony No. 8 in B minor ""Unfinished""",759,4,25m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
168,4,Schwanengesang,957,12,48m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
169,5,4 impromptus for piano op 90,899,13,29m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
170,6,Piano Trio No. 2 in E flat,929,2,41m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
171,7,"String Quartet No.14 ""Death and the Maiden""",810,5,48m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
172,8,Die Schöne Müllerin,795,6,65m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
173,9,4 Impromptus for piano op 142,935,5,36m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
174,10,Piano Sonata No. 21 in B flat D960,960,7,42m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
175,11,"6 Moments musicaux for piano, opus 94",780,4,31m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
176,12,10 Variations in F for Piano,156,1,18m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
177,13,Mass No.2 in G,167,2,22m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
178,14,"Symphony No. 9 in C major ""The Great""",944,2,55m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
179,15,Deutsche Messe,872,1,14m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
180,16,Sonata No. 16 in A minor,845,3,36m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
181,17,Piano Trio No. 1 in B flat,898,4,41m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
182,18,Cello Quintet in C op. 163,956,3,54m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
183,19,"Quintet in A ""Forellen""",667,3,40m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
184,20,"Rosamunde, Fürstin von Cypern",797,6,59m,Franz Schubert,31 jan 1797 (Vienna) - 19 nov 1828 (Vienna)
185,1,Swan Lake (suite),20a,1,3m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
186,2,Piano Concerto no. 1,23,3,34m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
187,3,The Nutcracker - suite,71a,4,46m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
188,4,The Nutcracker,71,1,85m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
189,5,"Symphony No.6 ""Pathétique""",74,2,45m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
190,6,1812,49,5,17m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
191,8,Violin Concerto,35,4,33m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
192,9,Symphony No.4,36,6,40m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
193,10,The Seasons,37a,7,46m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
194,11,The Sleeping Beauty,66,1,5m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
195,12,Symphony No.5,64,2,44m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
196,13,Piano Trio in A minor op. 50,50,2,41m,Pyotr Ilyich Tchaikovsky,7 may 1840 (Wotkinsk) -  6 nov 1893 (St-Petersburg)
